Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-7.1458943168155855,0.011340156020453646,0.0,-7.16812061419474,-7.1236680194364315
weekly_mean,-0.0020046218156620577,0.0007245098322782745,0.005659796723225904,-0.003424634993372631,-0.0005846086379514845
pm10_mean,0.0006223681928261045,0.0002153541106746065,0.0038527134428991824,0.0002002818919812229,0.001044454493670986
o3_mean,-0.0018909438627859453,0.00018711419097905814,5.2053880043062714e-24,-0.0022576809381012488,-0.0015242067874706418
