Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-7.007778946643525,0.042877692875338116,0.0,-7.091817680419358,-6.923740212867693
pm10_lag1,-0.000663529955489983,9.438773956301885e-05,2.067823081179276e-12,-0.0008485265256156463,-0.0004785333853643196
o3_lag1,-0.0007184471231724321,9.263506736967609e-05,8.787744517687862e-15,-0.0009000085189224388,-0.0005368857274224254
temp_lag1,-0.00734534307638292,0.0004284415467627943,6.929346323202214e-66,-0.00818507307751863,-0.00650561307524721
urban_pct,-0.0013492351846114596,5.6487154905158406e-05,4.312831925137439e-126,-0.0014599479738147052,-0.0012385223954082141
forest_pct,-0.0030670073597829704,7.205082962030334e-05,0.0,-0.003208224390894997,-0.002925790328670944
elderly_pct,0.7941438035294716,0.1070890289379728,1.2095261207566543e-13,0.5842531636716772,1.0040344433872659
child_pct,-1.747547519758193,0.3428567213534979,3.4504213268089345e-07,-2.4195343454685334,-1.0755606940478522
