Model,AIC,Dispersion
Demographic Structure (Female),109615.41832423091,1.2144513359234241
Demographic Structure (Male),109615.41832423091,1.214451335923206
Vulnerability,109719.70325054755,1.2190259485211252
Land Use,109974.9189119936,1.2289107665477248
Interaction,111448.06876129497,1.2832087429426553
Baseline,113057.35585666817,1.3556753570942177
