Variable,VIF
o3_mean,4.7605562801006425
o3_lag1,4.717014308703696
temp_lag1,4.535020155502337
weekly_mean,4.404672438174182
forest_pct,2.9207947145040154
pm10_mean,2.0737046659362464
pm10_lag1,2.071248311639906
urban_pct,1.8551650603576995
female_pct,1.277411451499347
elderly_pct,1.1860974925973253
child_pct,1.1346811058871775
