Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-6.988533246234081,0.042885526967092524,0.0,-7.072587334547603,-6.904479157920558
pm10_mean,-0.0010129916765628617,9.546569223143096e-05,2.647437158504534e-26,-0.0012001009950956517,-0.0008258823580300717
o3_mean,-0.0008719173990527525,9.232063701486418e-05,3.572845811470026e-21,-0.0010528625226316818,-0.0006909722754738233
weekly_mean,-0.0060893233039981615,0.00040642344445787154,9.525706451441817e-51,-0.0068858986176083044,-0.0052927479903880185
urban_pct,-0.001389325608830489,5.645894668819922e-05,1.0444902709252098e-133,-0.0014999831109444263,-0.0012786681067165516
forest_pct,-0.0030953183304115862,7.19079671840451e-05,0.0,-0.0032362553562938026,-0.00295438130452937
elderly_pct,0.7645969528707477,0.10716719590372335,9.7056665037386e-13,0.5545531085753015,0.9746407971661939
child_pct,-1.7828519398330875,0.34313488885311894,2.038678777152851e-07,-2.455383963824355,-1.11031991584182
