Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-7.1458943168155855,0.004694841988560875,0.0,-7.155096038026271,-7.1366925956049
weekly_mean,-0.0020046218156620577,0.0003724703880696021,7.367794618362603e-08,-0.002734650361586135,-0.0012745932697379803
pm10_mean,0.0006223681928261045,8.646921329730671e-05,6.129520210362274e-13,0.0004528916489918714,0.0007918447366603375
o3_mean,-0.0018909438627859453,8.636760266920982e-05,2.954659509413887e-106,-0.002060221253448662,-0.0017216664721232287
