Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-6.959279667703728,0.006618253340440807,0.0,-6.9722512058915544,-6.946308129515902
weekly_mean,-0.005549931882886553,0.00048481020805663373,2.4163951450126142e-30,-0.006500142430014925,-0.004599721335758181
pm10_mean,-0.0018355305437749206,0.0001241907623123926,1.9737663325704162e-49,-0.0020789399651197846,-0.001592121122430057
o3_mean,-0.006817689933000523,0.000166056648448451,0.0,-0.007143154983352916,-0.00649222488264813
warm_temp,-0.25618995040880677,0.008728405513285206,2.300720127905084e-189,-0.27329731085730663,-0.23908258996030693
pm10_mean:warm_temp,0.004292744329000884,0.0001690155003501917,2.6183197321643628e-142,0.003961480035485491,0.004624008622516277
o3_mean:warm_temp,0.006623898470998943,0.0001887299486546521,7.429542416547067e-270,0.006253994568831731,0.0069938023731661554
