Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-7.002830501942425,0.025636661916311042,0.0,-7.053077435982224,-6.952583567902626
weekly_mean,-0.00713423256011122,0.0017473427514274804,4.447641566233569e-05,-0.010558961421556205,-0.0037095036986662345
pm10_mean,-0.001348236415119371,0.0005523180616816897,0.01464459685903282,-0.002430759924026455,-0.00026571290621228705
o3_mean,-0.002537855683083249,0.0004473525813935692,1.4027338038457224e-08,-0.003414650631005668,-0.0016610607351608304
