Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-8.678172971788449,0.15344269235106664,0.0,-8.978915122487399,-8.377430821089499
pm10_mean,-0.0015501410141477998,9.968840326575145e-05,1.594465081743731e-54,-0.0017455266942249777,-0.0013547553340706219
o3_lag1,-0.0006242718848324029,9.226427526214122e-05,1.3227464481048799e-11,-0.0008051065414058895,-0.0004434372282589163
temp_lag1,-0.009497837161596993,0.00044883735193214266,2.1864214076946587e-99,-0.010377542206300322,-0.008618132116893664
urban_pct,-0.0018467461836763086,7.031439505993819e-05,4.9298942322343275e-152,-0.0019845598655885083,-0.0017089325017641086
forest_pct,-0.003108852092591414,7.276424921657246e-05,0.0,-0.003251467400417993,-0.0029662367847648353
elderly_pct,0.25757716215645443,0.11470510716866299,0.024732226423260742,0.03275928326306782,0.48239504104984104
child_pct,-0.8417403768347319,0.3568394680227758,0.018330335372561853,-1.5411328824218047,-0.14234787124765913
female_pct,3.4449842394352945,0.29209584290394713,4.190498783731862e-32,2.8724869073096886,4.0174815715609
