Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-6.828356211659904,0.007470836949240751,0.0,-6.842998783014787,-6.813713640305021
weekly_mean,-0.007029127552218233,0.0004959100132305899,1.3234330864806166e-45,-0.008001093317722972,-0.006057161786713496
pm10_mean,-0.0026141082804626743,0.00012711226835694476,5.609379272551184e-94,-0.0028632437484354765,-0.002364972812489872
o3_mean,-0.006396124871659292,0.00017033299054059996,1.371733585429477e-308,-0.00672997139849787,-0.0060622783448207145
warm_temp,-0.2526073860572417,0.008752434231733493,3.6464988634450912e-183,-0.26976184192849484,-0.23545293018598856
pm10_mean:warm_temp,0.004523237388996379,0.0001698266187217353,2.7104031316640563e-156,0.004190383332685562,0.0048560914453071955
o3_mean:warm_temp,0.0060800948027410415,0.00019110401002483778,3.9351353336479685e-222,0.005705537825791178,0.006454651779690905
urban_pct,-0.0014089099615359811,5.2805386090967465e-05,7.783857537312585e-157,-0.0015124066164640096,-0.0013054133066079526
forest_pct,-0.002320670479119953,6.49254808200813e-05,8.317628187279571e-280,-0.0024479220832062582,-0.0021934188750336475
